Cap-shape,Cap-surface,Cap-color,Gill-type,Gill-color,Stipe,Flesh,Volva,Ring,Class
Cap12,Fa1,Col1,Gty4,Gc2,Sti2,Fl3,V1,R1,F
Cap10,Fa1,Col7,Gty4,Gc2,Sti5,Fl3,V1,R1,F
Cap10,Fa1,Col2,Gty3,Gc6,Sti3,Fl3,V1,R1,F
Cap10,Fa1,Col2,Gty3,Gc2,Sti3,Fl3,V1,R1,F
Cap11,Fa1,Col2,Gty3,Gc6,Sti3,Fl3,V1,R1,F
Cap11,Fa1,Col2,Gty3,Gc2,Sti3,Fl3,V1,R1,F
Cap10,Fa1,Col1,Gty3,Gc2,Sti2,Fl3,V1,R1,F
Cap11,Fa1,Col1,Gty3,Gc2,Sti2,Fl3,V1,R1,F
Cap10,Fa1,Col1,Gty3,Gc2,Sti2,Fl3,V1,R1,F
Cap10,Fa1,Col10,Gty3,Gc2,Sti2,Fl3,V1,R1,F
Cap11,Fa1,Col1,Gty3,Gc2,Sti2,Fl3,V1,R1,F
Cap11,Fa1,Col10,Gty3,Gc2,Sti2,Fl3,V1,R1,F
Cap10,Fa1,Col1,Gty4,Gc2,Sti5,Fl3,V1,R1,F
Cap10,Fa1,Col9,Gty4,Gc2,Sti5,Fl3,V1,R1,F
Cap11,Fa1,Col1,Gty4,Gc2,Sti5,Fl3,V1,R1,F
Cap11,Fa1,Col9,Gty4,Gc2,Sti5,Fl3,V1,R1,F
Cap10,Fa1,Col6,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col5,Gty3,Gc2,Sti5,Fl3,V1,R1,F
Cap10,Fa1,Col9,Gty3,Gc2,Sti5,Fl3,V1,R1,F
Cap6,Fa6,Col1,Gty1,Gc1,Sti2,Fl3,V1,R1,F
Cap8,Fa6,Col1,Gty1,Gc1,Sti2,Fl3,V1,R1,F
Cap8,Fa1,Col1,Gty4,Gc2,Sti2,Fl3,V3,R5,F
Cap9,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col10,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col10,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap12,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap12,Fa1,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap12,Fa1,Col10,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap12,Fa1,Col10,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col5,Gty3,Gc6,Sti2,Fl3,V3,R2,F
Cap7,Fa1,Col5,Gty3,Gc6,Sti2,Fl3,V3,R2,F
Cap8,Fa6,Col1,Gty1,Gc1,Sti3,Fl2,V1,R1,F
Cap8,Fa6,Col5,Gty1,Gc1,Sti3,Fl2,V1,R1,F
Cap10,Fa1,Col8,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap8,Fa1,Col9,Gty1,Gc1,Sti3,Fl2,V1,R1,F
Cap8,Fa1,Col5,Gty1,Gc1,Sti3,Fl2,V1,R1,F
Cap3,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap10,Fa2,Col1,Gty4,Gc2,Sti2,Fl3,V2,R3,F
Cap10,Fa1,Col2,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col2,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col3,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col3,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap1,Fa1,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,F
Cap2,Fa1,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,F
Cap9,Fa2,Col5,Gty3,Gc6,Sti4,Fl3,V1,R1,T
Cap9,Fa2,Col5,Gty3,Gc10,Sti4,Fl3,V1,R1,T
Cap9,Fa2,Col9,Gty3,Gc6,Sti4,Fl3,V1,R1,T
Cap9,Fa2,Col9,Gty3,Gc10,Sti4,Fl3,V1,R1,T
Cap8,Fa1,Col9,Gty4,Gc10,Sti2,Fl3,V1,R1,T
Cap8,Fa1,Col10,Gty4,Gc10,Sti2,Fl3,V1,R1,T
Cap10,Fa1,Col9,Gty4,Gc10,Sti2,Fl3,V1,R1,T
Cap10,Fa1,Col10,Gty4,Gc10,Sti2,Fl3,V1,R1,T
Cap7,Fa2,Col9,Gty4,Gc2,Sti2,Fl2,V2,R5,T
Cap8,Fa2,Col9,Gty4,Gc2,Sti2,Fl2,V2,R5,T
Cap7,Fa2,Col1,Gty4,Gc2,Sti2,Fl2,V1,R5,T
Cap7,Fa2,Col1,Gty4,Gc7,Sti2,Fl2,V1,R5,T
Cap8,Fa2,Col1,Gty4,Gc2,Sti2,Fl2,V1,R5,T
Cap8,Fa2,Col1,Gty4,Gc7,Sti2,Fl2,V1,R5,T
Cap10,Fa5,Col5,Gty4,Gc2,Sti2,Fl3,V1,R5,T
Cap10,Fa5,Col5,Gty4,Gc4,Sti2,Fl3,V1,R5,T
Cap10,Fa5,Col5,Gty4,Gc10,Sti2,Fl3,V1,R5,T
Cap9,Fa5,Col5,Gty4,Gc2,Sti2,Fl3,V1,R5,T
Cap9,Fa5,Col5,Gty4,Gc4,Sti2,Fl3,V1,R5,T
Cap9,Fa5,Col5,Gty4,Gc10,Sti2,Fl3,V1,R5,T
Cap1,Fa1,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap1,Fa1,Col10,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap5,Fa1,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap5,Fa1,Col10,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap10,Fa6,Col9,Gty4,Gc2,Sti2,Fl3,V1,R5,T
Cap10,Fa6,Col9,Gty4,Gc3,Sti2,Fl3,V1,R5,T
Cap9,Fa6,Col9,Gty4,Gc2,Sti2,Fl3,V1,R5,T
Cap9,Fa6,Col9,Gty4,Gc3,Sti2,Fl3,V1,R5,T
Cap9,Fa1,Col2,Gty2,Gc6,Sti2,Fl2,V1,R1,T
Cap11,Fa1,Col2,Gty2,Gc6,Sti2,Fl2,V1,R1,T
Cap10,Fa2,Col1,Gty4,Gc2,Sti2,Fl2,V1,R3,T
Cap10,Fa2,Col1,Gty4,Gc6,Sti2,Fl2,V1,R3,T
Cap4,Fa1,Col9,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap9,Fa5,Col1,Gty4,Gc2,Sti4,Fl2,V3,R2,T
Cap9,Fa5,Col1,Gty4,Gc9,Sti4,Fl2,V3,R2,T
Cap9,Fa5,Col1,Gty4,Gc7,Sti4,Fl2,V3,R2,T
Cap9,Fa5,Col9,Gty4,Gc2,Sti4,Fl2,V3,R2,T
Cap9,Fa5,Col9,Gty4,Gc9,Sti4,Fl2,V3,R2,T
Cap9,Fa5,Col9,Gty4,Gc7,Sti4,Fl2,V3,R2,T
Cap10,Fa2,Col1,Gty3,Gc2,Sti2,Fl2,V1,R5,T
Cap10,Fa2,Col9,Gty3,Gc2,Sti2,Fl2,V1,R5,T
Cap8,Fa1,Col9,Gty4,Gc2,Sti2,Fl3,V1,R5,T
Cap11,Fa1,Col9,Gty4,Gc2,Sti2,Fl3,V1,R5,T
Cap9,Fa1,Col9,Gty4,Gc2,Sti2,Fl3,V1,R5,T
Cap4,Fa2,Col1,Gty4,Gc2,Sti2,Fl3,V1,R4,T
Cap4,Fa2,Col1,Gty4,Gc6,Sti2,Fl3,V1,R4,T
Cap4,Fa2,Col5,Gty4,Gc2,Sti2,Fl3,V1,R4,T
Cap4,Fa2,Col5,Gty4,Gc6,Sti2,Fl3,V1,R4,T
Cap7,Fa2,Col1,Gty4,Gc2,Sti2,Fl3,V1,R4,T
Cap7,Fa2,Col1,Gty4,Gc6,Sti2,Fl3,V1,R4,T
Cap7,Fa2,Col5,Gty4,Gc2,Sti2,Fl3,V1,R4,T
Cap7,Fa2,Col5,Gty4,Gc6,Sti2,Fl3,V1,R4,T
Cap4,Fa1,Col1,Gty2,Gc2,Sti2,Fl3,V1,R5,T
Cap4,Fa1,Col5,Gty2,Gc2,Sti2,Fl3,V1,R5,T
Cap10,Fa1,Col1,Gty2,Gc2,Sti2,Fl3,V1,R5,T
Cap10,Fa1,Col5,Gty2,Gc2,Sti2,Fl3,V1,R5,T
Cap6,Fa1,Col1,Gty2,Gc10,Sti2,Fl3,V1,R1,T
Cap6,Fa1,Col1,Gty2,Gc4,Sti2,Fl3,V1,R1,T
Cap9,Fa1,Col7,Gty3,Gc8,Sti2,Fl2,V1,R1,F
Cap8,Fa1,Col7,Gty3,Gc8,Sti2,Fl2,V1,R1,F
Cap9,Fa2,Col5,Gty2,Gc2,Sti2,Fl2,V1,R1,T
Cap9,Fa2,Col4,Gty2,Gc2,Sti2,Fl2,V1,R1,T
Cap11,Fa2,Col5,Gty2,Gc2,Sti2,Fl2,V1,R1,T
Cap11,Fa2,Col4,Gty2,Gc2,Sti2,Fl2,V1,R1,T
Cap10,Fa1,Col1,Gty2,Gc2,Sti2,Fl3,V1,R1,T
Cap10,Fa1,Col1,Gty2,Gc4,Sti2,Fl3,V1,R1,T
Cap9,Fa1,Col7,Gty3,Gc2,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col1,Gty3,Gc2,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col8,Gty3,Gc2,Sti4,Fl2,V1,R1,F
Cap10,Fa1,Col9,Gty3,Gc2,Sti4,Fl2,V1,R1,F
Cap10,Fa5,Col1,Gty3,Gc2,Sti4,Fl2,V1,R1,T
Cap10,Fa5,Col1,Gty3,Gc2,Sti2,Fl2,V1,R1,T
Cap10,Fa5,Col5,Gty3,Gc2,Sti4,Fl2,V1,R1,T
Cap10,Fa5,Col5,Gty3,Gc2,Sti2,Fl2,V1,R1,T
Cap8,Fa5,Col1,Gty3,Gc2,Sti4,Fl2,V1,R1,T
Cap8,Fa5,Col1,Gty3,Gc2,Sti2,Fl2,V1,R1,T
Cap8,Fa5,Col5,Gty3,Gc2,Sti4,Fl2,V1,R1,T
Cap8,Fa5,Col5,Gty3,Gc2,Sti2,Fl2,V1,R1,T
Cap8,Fa2,Col1,Gty4,Gc2,Sti3,Fl2,V1,R5,T
Cap8,Fa2,Col1,Gty4,Gc2,Sti4,Fl2,V1,R5,T
Cap8,Fa2,Col9,Gty4,Gc2,Sti3,Fl2,V1,R5,T
Cap8,Fa2,Col9,Gty4,Gc2,Sti4,Fl2,V1,R5,T
Cap10,Fa2,Col1,Gty4,Gc2,Sti3,Fl2,V1,R5,T
Cap10,Fa2,Col1,Gty4,Gc2,Sti4,Fl2,V1,R5,T
Cap10,Fa2,Col9,Gty4,Gc2,Sti3,Fl2,V1,R5,T
Cap10,Fa2,Col9,Gty4,Gc2,Sti4,Fl2,V1,R5,T
Cap9,Fa2,Col1,Gty4,Gc2,Sti2,Fl2,V3,R5,T
Cap10,Fa2,Col1,Gty3,Gc2,Sti3,Fl3,V1,R5,T
Cap10,Fa2,Col1,Gty3,Gc2,Sti4,Fl3,V1,R5,T
Cap10,Fa2,Col5,Gty3,Gc2,Sti3,Fl3,V1,R5,T
Cap10,Fa2,Col5,Gty3,Gc2,Sti4,Fl3,V1,R5,T
Cap9,Fa2,Col1,Gty4,Gc2,Sti4,Fl2,V1,R3,T
Cap9,Fa2,Col1,Gty4,Gc2,Sti3,Fl2,V1,R3,T
Cap6,Fa1,Col10,Gty4,Gc2,Sti2,Fl3,V1,R1,F
Cap6,Fa1,Col10,Gty4,Gc4,Sti2,Fl3,V1,R1,F
Cap6,Fa1,Col9,Gty4,Gc2,Sti2,Fl3,V1,R1,F
Cap6,Fa1,Col9,Gty4,Gc4,Sti2,Fl3,V1,R1,F
Cap8,Fa1,Col10,Gty4,Gc2,Sti2,Fl3,V1,R1,F
Cap8,Fa1,Col10,Gty4,Gc4,Sti2,Fl3,V1,R1,F
Cap8,Fa1,Col9,Gty4,Gc2,Sti2,Fl3,V1,R1,F
Cap8,Fa1,Col9,Gty4,Gc4,Sti2,Fl3,V1,R1,F
Cap14,Fa6,Col1,Gty3,Gc10,Sti1,Fl1,V1,R1,F
Cap14,Fa6,Col1,Gty3,Gc4,Sti1,Fl1,V1,R1,F
Cap14,Fa6,Col1,Gty3,Gc9,Sti1,Fl1,V1,R1,F
Cap14,Fa6,Col8,Gty3,Gc10,Sti1,Fl1,V1,R1,F
Cap14,Fa6,Col8,Gty3,Gc4,Sti1,Fl1,V1,R1,F
Cap14,Fa6,Col8,Gty3,Gc9,Sti1,Fl1,V1,R1,F
Cap10,Fa1,Col1,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap12,Fa1,Col1,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap9,Fa1,Col2,Gty3,Gc3,Sti2,Fl3,V1,R1,F
Cap9,Fa1,Col2,Gty3,Gc5,Sti2,Fl3,V1,R1,F
Cap9,Fa1,Col2,Gty3,Gc6,Sti2,Fl3,V1,R1,F
Cap9,Fa1,Col4,Gty3,Gc3,Sti2,Fl3,V1,R1,F
Cap9,Fa1,Col4,Gty3,Gc5,Sti2,Fl3,V1,R1,F
Cap9,Fa1,Col4,Gty3,Gc6,Sti2,Fl3,V1,R1,F
Cap9,Fa1,Col2,Gty5,Gc6,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col4,Gty5,Gc6,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col7,Gty4,Gc8,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col7,Gty4,Gc4,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col3,Gty4,Gc8,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col3,Gty4,Gc4,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc8,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc4,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap13,Fa1,Col1,Gty3,Gc2,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col9,Gty5,Gc10,Sti2,Fl3,V1,R1,T
Cap10,Fa1,Col9,Gty5,Gc6,Sti2,Fl3,V1,R1,T
Cap10,Fa1,Col4,Gty5,Gc10,Sti2,Fl3,V1,R1,T
Cap10,Fa1,Col4,Gty5,Gc6,Sti2,Fl3,V1,R1,T
Cap11,Fa1,Col9,Gty5,Gc10,Sti2,Fl3,V1,R1,T
Cap11,Fa1,Col9,Gty5,Gc6,Sti2,Fl3,V1,R1,T
Cap11,Fa1,Col4,Gty5,Gc10,Sti2,Fl3,V1,R1,T
Cap11,Fa1,Col4,Gty5,Gc6,Sti2,Fl3,V1,R1,T
Cap9,Fa3,Col10,Gty1,Gc1,Sti4,Fl2,V1,R1,F
Cap9,Fa3,Col9,Gty1,Gc1,Sti4,Fl2,V1,R1,F
Cap9,Fa6,Col2,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap9,Fa6,Col3,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap10,Fa6,Col2,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap10,Fa6,Col3,Gty1,Gc1,Sti2,Fl2,V1,R2,F
Cap9,Fa4,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa4,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa4,Col8,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa4,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa4,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa4,Col8,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap8,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col2,Gty1,Gc1,Sti3,Fl2,V1,R1,T
Cap9,Fa1,Col4,Gty1,Gc1,Sti3,Fl2,V1,R1,T
Cap8,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap10,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap1,Fa1,Col5,Gty1,Gc1,Sti1,Fl1,V1,R1,F
Cap1,Fa1,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,F
Cap3,Fa1,Col5,Gty3,Gc6,Sti2,Fl2,V1,R1,F
Cap9,Fa1,Col5,Gty3,Gc6,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col5,Gty1,Gc1,Sti4,Fl3,V1,R1,F
Cap3,Fa1,Col9,Gty1,Gc1,Sti4,Fl3,V1,R1,F
Cap3,Fa1,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,F
Cap4,Fa1,Col1,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap4,Fa1,Col9,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap4,Fa1,Col2,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap4,Fa1,Col3,Gty1,Gc1,Sti2,Fl3,V1,R1,T
Cap11,Fa1,Col2,Gty1,Gc1,Sti2,Fl2,V1,R1,T
Cap11,Fa1,Col5,Gty1,Gc1,Sti2,Fl2,V1,R1,T
Cap11,Fa1,Col9,Gty1,Gc1,Sti2,Fl2,V1,R1,T
Cap15,Fa6,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col10,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col8,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col10,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap15,Fa6,Col9,Gty1,Gc1,Sti1,Fl1,V1,R1,T
Cap11,Fa1,Col1,Gty4,Gc6,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col9,Gty4,Gc6,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc2,Sti5,Fl2,V1,R1,F
Cap3,Fa1,Col5,Gty4,Gc2,Sti5,Fl2,V1,R1,F
Cap3,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col1,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,F
Cap10,Fa5,Col8,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap10,Fa5,Col8,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap10,Fa5,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap10,Fa5,Col9,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col8,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col8,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col9,Gty4,Gc10,Sti2,Fl2,V1,R1,T
Cap11,Fa5,Col9,Gty4,Gc8,Sti2,Fl2,V1,R1,T
Cap3,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col1,Gty4,Gc7,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap3,Fa1,Col9,Gty4,Gc7,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col1,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col1,Gty4,Gc7,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col9,Gty4,Gc2,Sti2,Fl2,V1,R1,F
Cap11,Fa1,Col9,Gty4,Gc7,Sti2,Fl2,V1,R1,F
